Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
80863,4251,3,1,0,4
80863,4251,3,210,0,4
80863,4412,3,1,0,4
80863,4413,3,1,0,4
80863,4441,7,1,0,4
80863,4453,3,1,0,4
80863,4461,6,1,0,4
80863,4461,3,210,0,4
80863,4471,5,1,0,4
80863,4471,3,210,0,4
80863,4539,3,1,0,4
80863,5173,4,1,0,4
80863,5221,5,1,0,4
80863,5221,3,220,0,4
80863,5241,3,1,0,4
80863,5241,3,210,0,4
80863,5242,15,1,0,4
80863,5242,14,210,0,4
80863,5312,34,1,0,4
80863,5311,4,1,0,4
80863,5311,4,210,0,4
80863,5312,32,210,0,4
80863,5313,9,1,0,4
80863,5313,7,210,0,4
80863,5411,5,1,0,4
80863,5411,4,210,0,4
80863,5412,9,1,0,4
80863,5412,8,210,0,4
80863,5413,12,1,0,4
80863,5413,10,210,0,4
80863,5414,4,1,0,4
80863,5414,4,210,0,4
80863,5415,14,1,0,4
80863,5415,12,210,0,4
80863,5416,27,1,0,4
80863,5416,25,210,0,4
80863,5419,5,1,0,4
80863,5617,19,1,0,4
80863,5617,14,210,0,4
80863,5617,4,220,0,4
80863,6211,10,1,0,4
80863,6211,7,210,0,4
80863,6212,10,1,0,4
80863,6212,5,210,0,4
80863,6212,5,220,0,4
80863,6213,13,1,0,4
80863,6213,11,210,0,4
80863,6215,3,1,0,4
80863,6215,3,210,0,4
80863,6241,9,1,0,4
80863,6241,6,210,0,4
80863,6241,3,220,0,4
80863,7121,3,1,0,4
80863,7139,6,1,0,4
80863,7139,4,210,0,4
80863,7211,6,1,0,4
80863,7211,4,210,0,4
80863,7212,3,1,0,4
80863,7225,29,1,0,4
80863,7225,6,210,0,4
80863,7225,6,220,0,4
80863,7225,8,230,0,4
80863,7225,9,241,0,4
80863,8111,10,1,0,4
80863,8111,4,210,0,4
80863,8111,6,220,0,4
80863,8121,5,1,0,4
80863,8121,3,210,0,4
80863,8131,10,1,0,4
80863,8131,4,210,0,4
80863,8134,3,1,0,4
80863,2361,18,1,0,4
80863,2361,15,210,0,4
80863,2381,6,1,0,4
80863,2381,3,210,0,4
80863,2382,12,1,0,4
80863,2382,10,210,0,4
80863,2383,14,1,0,4
80863,2383,11,210,0,4
80863,2389,6,1,0,4
80863,2389,6,210,0,4
