Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
41005,236,6,1,0,3
41005,236,6,210,0,3
41005,237,3,1,0,3
41005,238,7,220,0,3
41005,238,44,1,0,3
41005,238,26,210,0,3
41005,238,8,230,0,3
41005,332,5,1,0,3
41005,339,3,1,0,3
41005,423,12,1,0,3
41005,423,7,210,0,3
41005,423,4,220,0,3
41005,424,4,1,0,3
41005,424,3,210,0,3
41005,441,4,1,0,3
41005,445,6,1,0,3
41005,445,4,210,0,3
41005,447,3,1,0,3
41005,452,3,1,0,3
41005,454,5,1,0,3
41005,454,3,210,0,3
41005,484,8,1,0,3
41005,484,5,210,0,3
41005,488,3,1,0,3
41005,488,3,230,0,3
41005,522,7,1,0,3
41005,522,4,220,0,3
41005,524,3,1,0,3
41005,531,13,1,0,3
41005,531,13,210,0,3
41005,541,24,1,0,3
41005,541,20,210,0,3
41005,561,15,1,0,3
41005,561,9,210,0,3
41005,621,14,1,0,3
41005,621,6,210,0,3
41005,621,5,220,0,3
41005,624,5,1,0,3
41005,624,3,210,0,3
41005,713,6,1,0,3
41005,713,4,210,0,3
41005,722,23,1,0,3
41005,722,6,210,0,3
41005,722,7,230,0,3
41005,722,8,241,0,3
41005,811,16,1,0,3
41005,811,6,210,0,3
41005,811,4,220,0,3
41005,811,4,230,0,3
41005,812,6,1,0,3
41005,812,3,220,0,3
41005,813,7,1,0,3
41005,813,3,210,0,3
