State,StateName,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
HI,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498000.0,514000.0,517000.0,510000.0,505000.0,539000.0,559000.0,584000.0,605000.0,622000.0,642000.0,659000.0,684000.0,682000.0,700000.0,704000.0,710000.0,723000.0,734000.0,750000.0,769913.0,801644.0,828331.0,851595.0,867978.0,886160.0,904191.0,918259.0,931584.0,953306.0,964691.0,978195.0,993780.0,1012717.0,1027922.0,1039698.0,1051762.0,1067918.0,1079828.0,1094588.0,1112703.0,1131412.0,1149926.0,1161508.0,1173903.0,1180490.0,1184434.0,1189322.0,1190472.0,1185497.0,1213519.0,1225948.0,1239613.0,1251154.0,1273569.0,1292729.0,1309731.0,1315675.0,1332213.0,1346717.0,1364004.0,1379562.0,1395199.0,1408822.0,1415335.0,1422999.0,1428885.0,1425763.0,1423102.0,1415615.0,1407006.0,1441553.0,1439399.0,1435138.0
ID,Idaho,163000.0,176000.0,199000.0,216000.0,229000.0,246000.0,262000.0,277000.0,291000.0,311000.0,329000.0,343000.0,359000.0,371000.0,384000.0,394000.0,405000.0,413000.0,405000.0,424000.0,433000.0,435000.0,436000.0,436000.0,434000.0,436000.0,441000.0,447000.0,449000.0,447000.0,447000.0,454000.0,459000.0,464000.0,473000.0,481000.0,495000.0,507000.0,513000.0,521000.0,522000.0,501000.0,478000.0,500000.0,529000.0,507000.0,509000.0,522000.0,551000.0,570000.0,590000.0,589000.0,587000.0,596000.0,600000.0,618000.0,628000.0,642000.0,646000.0,657000.0,671000.0,684000.0,692000.0,683000.0,680000.0,686000.0,689000.0,688000.0,695000.0,707000.0,713015.0,738753.0,763237.0,782074.0,807990.0,831982.0,856983.0,883469.0,910690.0,932627.0,943935.0,962204.0,973721.0,981869.0,990839.0,994051.0,990224.0,984997.0,985664.0,994416.0,1011882.0,1038915.0,1066490.0,1101204.0,1135459.0,1165000.0,1187706.0,1210638.0,1230923.0,1251700.0,1299430.0,1319962.0,1340372.0,1363380.0,1391802.0,1428241.0,1468669.0,1505105.0,1534320.0,1554439.0,1570819.0,1584272.0,1595910.0,1612053.0,1632248.0,1652495.0,1684036.0,1719745.0,1752074.0,1789060.0,1826913.0,1900923.0,1938996.0,1964726.0
IL,Illinois,4828000.0,4914000.0,4992000.0,5071000.0,5161000.0,5241000.0,5309000.0,5384000.0,5474000.0,5567000.0,5668000.0,5757000.0,5828000.0,5961000.0,6109000.0,6194000.0,6274000.0,6313000.0,6275000.0,6392000.0,6663000.0,6858000.0,6958000.0,7068000.0,7215000.0,7306000.0,7395000.0,7519000.0,7576000.0,7606000.0,7644000.0,7687000.0,7736000.0,7768000.0,7772000.0,7797000.0,7840000.0,7857000.0,7866000.0,7890000.0,7905000.0,7995000.0,8057000.0,7761000.0,7719000.0,7601000.0,8155000.0,8341000.0,8552000.0,8670000.0,8738000.0,8790000.0,8956000.0,9065000.0,9252000.0,9435000.0,9530000.0,9668000.0,9886000.0,9986000.0,10086000.0,10130000.0,10280000.0,10402000.0,10580000.0,10693000.0,10836000.0,10947000.0,10995000.0,11039000.0,11110285.0,11202397.0,11251948.0,11251367.0,11262145.0,11291743.0,11342853.0,11386316.0,11412561.0,11396837.0,11426518.0,11443458.0,11423412.0,11408818.0,11412132.0,11399806.0,11387257.0,11391178.0,11390183.0,11409782.0,11446979.0,11535973.0,11635197.0,11725984.0,11804986.0,11884935.0,11953003.0,12011509.0,12069774.0,12128370.0,12434161.0,12488445.0,12525556.0,12556006.0,12589773.0,12609903.0,12643955.0,12695866.0,12747038.0,12796778.0,12840545.0,12867783.0,12883029.0,12895778.0,12885092.0,12859585.0,12821709.0,12779893.0,12724685.0,12667017.0,12587530.0,12671469.0,12582515.0,12549689.0
IN,Indiana,2518000.0,2541000.0,2567000.0,2594000.0,2614000.0,2635000.0,2663000.0,2679000.0,2677000.0,2678000.0,2713000.0,2751000.0,2785000.0,2824000.0,2857000.0,2873000.0,2897000.0,2910000.0,2880000.0,2906000.0,2947000.0,2976000.0,2965000.0,3042000.0,3086000.0,3119000.0,3148000.0,3191000.0,3212000.0,3226000.0,3242000.0,3257000.0,3281000.0,3304000.0,3319000.0,3332000.0,3348000.0,3374000.0,3386000.0,3403000.0,3433000.0,3483000.0,3507000.0,3449000.0,3440000.0,3427000.0,3702000.0,3779000.0,3877000.0,3958000.0,3967000.0,4096000.0,4148000.0,4182000.0,4264000.0,4363000.0,4458000.0,4529000.0,4583000.0,4613000.0,4674000.0,4730000.0,4736000.0,4799000.0,4856000.0,4922000.0,4999000.0,5053000.0,5093000.0,5143000.0,5195392.0,5253396.0,5302435.0,5338277.0,5361890.0,5365766.0,5389088.0,5425638.0,5470214.0,5501174.0,5490224.0,5480435.0,5467922.0,5450395.0,5458322.0,5459211.0,5454108.0,5473012.0,5491735.0,5523693.0,5555097.0,5602062.0,5648649.0,5701965.0,5745626.0,5791819.0,5834908.0,5872370.0,5907617.0,5942901.0,6091866.0,6127760.0,6155967.0,6196638.0,6233007.0,6278616.0,6332669.0,6379599.0,6424806.0,6459325.0,6490555.0,6517250.0,6538989.0,6570575.0,6596019.0,6611442.0,6637898.0,6662068.0,6698481.0,6731010.0,6754953.0,6805985.0,6832274.0,6862199.0
IA,Iowa,2231000.0,2227000.0,2222000.0,2217000.0,2212000.0,2211000.0,2214000.0,2217000.0,2220000.0,2223000.0,2228000.0,2249000.0,2279000.0,2305000.0,2338000.0,2366000.0,2376000.0,2382000.0,2351000.0,2379000.0,2400000.0,2407000.0,2428000.0,2425000.0,2420000.0,2427000.0,2432000.0,2441000.0,2450000.0,2460000.0,2475000.0,2482000.0,2489000.0,2495000.0,2510000.0,2524000.0,2509000.0,2498000.0,2494000.0,2520000.0,2537000.0,2491000.0,2439000.0,2334000.0,2301000.0,2308000.0,2467000.0,2509000.0,2543000.0,2578000.0,2625000.0,2617000.0,2626000.0,2629000.0,2626000.0,2679000.0,2703000.0,2716000.0,2708000.0,2729000.0,2756000.0,2756000.0,2750000.0,2747000.0,2746000.0,2742000.0,2762000.0,2793000.0,2803000.0,2805000.0,2825368.0,2851705.0,2860287.0,2863715.0,2867530.0,2880847.0,2903082.0,2913573.0,2918069.0,2915739.0,2913808.0,2907983.0,2888189.0,2870543.0,2858618.0,2829684.0,2791970.0,2767011.0,2768388.0,2770592.0,2779769.0,2791227.0,2806923.0,2820525.0,2829422.0,2840860.0,2848473.0,2854396.0,2861025.0,2869413.0,2929067.0,2931997.0,2934234.0,2941999.0,2953635.0,2964454.0,2982644.0,2999212.0,3016734.0,3032870.0,3050819.0,3066772.0,3076844.0,3093935.0,3110643.0,3122541.0,3133210.0,3143734.0,3149900.0,3159596.0,3163561.0,3193079.0,3199693.0,3207004.0
KS,Kansas,1473000.0,1490000.0,1505000.0,1498000.0,1527000.0,1555000.0,1576000.0,1612000.0,1629000.0,1658000.0,1692000.0,1684000.0,1671000.0,1663000.0,1662000.0,1687000.0,1727000.0,1748000.0,1729000.0,1756000.0,1769000.0,1779000.0,1799000.0,1808000.0,1807000.0,1825000.0,1836000.0,1836000.0,1850000.0,1867000.0,1883000.0,1881000.0,1883000.0,1877000.0,1868000.0,1872000.0,1869000.0,1856000.0,1842000.0,1824000.0,1788000.0,1765000.0,1760000.0,1796000.0,1779000.0,1731000.0,1805000.0,1853000.0,1892000.0,1925000.0,1916000.0,1950000.0,1977000.0,1994000.0,2042000.0,2093000.0,2119000.0,2128000.0,2142000.0,2160000.0,2183000.0,2215000.0,2231000.0,2217000.0,2209000.0,2206000.0,2200000.0,2197000.0,2216000.0,2236000.0,2249071.0,2246600.0,2256375.0,2265603.0,2269499.0,2280578.0,2301001.0,2320647.0,2335657.0,2350906.0,2363679.0,2384849.0,2401202.0,2415531.0,2424086.0,2427405.0,2432619.0,2445367.0,2461996.0,2472849.0,2480683.0,2495209.0,2526042.0,2547605.0,2569118.0,2586942.0,2598266.0,2616339.0,2638667.0,2654052.0,2693681.0,2702162.0,2713535.0,2723004.0,2734373.0,2745299.0,2762931.0,2783785.0,2808076.0,2832704.0,2858266.0,2869677.0,2886024.0,2894306.0,2901861.0,2910717.0,2912977.0,2910892.0,2912748.0,2912635.0,2913805.0,2934582.0,2936716.0,2940546.0
KY,Kentucky,2148000.0,2162000.0,2177000.0,2191000.0,2205000.0,2220000.0,2234000.0,2249000.0,2263000.0,2278000.0,2299000.0,2324000.0,2347000.0,2374000.0,2395000.0,2401000.0,2411000.0,2421000.0,2425000.0,2413000.0,2421000.0,2436000.0,2450000.0,2480000.0,2531000.0,2520000.0,2545000.0,2551000.0,2567000.0,2606000.0,2623000.0,2652000.0,2676000.0,2698000.0,2722000.0,2748000.0,2768000.0,2784000.0,2800000.0,2825000.0,2859000.0,2824000.0,2797000.0,2693000.0,2631000.0,2597000.0,2761000.0,2803000.0,2817000.0,2849000.0,2936000.0,2941000.0,2920000.0,2903000.0,2902000.0,2910000.0,2898000.0,2928000.0,2961000.0,2999000.0,3041000.0,3054000.0,3079000.0,3096000.0,3129000.0,3140000.0,3147000.0,3172000.0,3195000.0,3198000.0,3220711.0,3298053.0,3335728.0,3371024.0,3416315.0,3467769.0,3529257.0,3573693.0,3609976.0,3641804.0,3660777.0,3670394.0,3683445.0,3694484.0,3695453.0,3694826.0,3687809.0,3683329.0,3679999.0,3677306.0,3692584.0,3714686.0,3756358.0,3792288.0,3823215.0,3855248.0,3881051.0,3907816.0,3934310.0,3960825.0,4049021.0,4068132.0,4089875.0,4117170.0,4146101.0,4182742.0,4219239.0,4256672.0,4289878.0,4317074.0,4348464.0,4370817.0,4387865.0,4406906.0,4416992.0,4429126.0,4440306.0,4455590.0,4464273.0,4472345.0,4477251.0,4509394.0,4511563.0,4526154.0
LA,Louisiana,1384000.0,1412000.0,1440000.0,1467000.0,1495000.0,1523000.0,1551000.0,1579000.0,1607000.0,1634000.0,1667000.0,1695000.0,1709000.0,1727000.0,1740000.0,1755000.0,1799000.0,1795000.0,1746000.0,1756000.0,1813000.0,1847000.0,1871000.0,1903000.0,1939000.0,1972000.0,2005000.0,2039000.0,2064000.0,2086000.0,2105000.0,2124000.0,2155000.0,2178000.0,2202000.0,2228000.0,2246000.0,2257000.0,2285000.0,2334000.0,2370000.0,2484000.0,2546000.0,2565000.0,2508000.0,2429000.0,2556000.0,2579000.0,2596000.0,2634000.0,2697000.0,2769000.0,2842000.0,2866000.0,2883000.0,2946000.0,3032000.0,3115000.0,3155000.0,3208000.0,3260000.0,3287000.0,3345000.0,3377000.0,3446000.0,3496000.0,3550000.0,3581000.0,3603000.0,3619000.0,3644637.0,3710487.0,3761646.0,3788375.0,3820109.0,3886104.0,3950605.0,4014459.0,4068579.0,4137665.0,4205900.0,4283303.0,4352608.0,4395316.0,4400477.0,4408118.0,4406919.0,4344148.0,4288863.0,4252894.0,4219179.0,4240950.0,4270849.0,4284749.0,4306500.0,4327978.0,4338763.0,4351390.0,4362758.0,4372035.0,4471885.0,4477875.0,4497267.0,4521042.0,4552238.0,4576628.0,4302665.0,4375581.0,4435586.0,4491648.0,4544635.0,4576244.0,4602067.0,4626040.0,4645938.0,4666998.0,4681346.0,4673673.0,4664450.0,4658285.0,4645318.0,4624047.0,4588023.0,4573749.0
ME,Maine,695000.0,699000.0,703000.0,709000.0,719000.0,723000.0,729000.0,731000.0,735000.0,740000.0,745000.0,751000.0,753000.0,763000.0,772000.0,774000.0,775000.0,777000.0,760000.0,762000.0,771000.0,775000.0,778000.0,781000.0,788000.0,792000.0,793000.0,796000.0,797000.0,797000.0,800000.0,807000.0,815000.0,821000.0,829000.0,836000.0,840000.0,842000.0,843000.0,846000.0,849000.0,852000.0,839000.0,806000.0,801000.0,800000.0,832000.0,854000.0,878000.0,903000.0,917000.0,916000.0,915000.0,913000.0,927000.0,934000.0,938000.0,943000.0,944000.0,957000.0,975000.0,995000.0,994000.0,993000.0,993000.0,997000.0,999000.0,1004000.0,994000.0,992000.0,993722.0,1015390.0,1034292.0,1045655.0,1059040.0,1071995.0,1088412.0,1103578.0,1113566.0,1122563.0,1124660.0,1133033.0,1136684.0,1144772.0,1155635.0,1162936.0,1170126.0,1184574.0,1203840.0,1219961.0,1231296.0,1235439.0,1235748.0,1238256.0,1237687.0,1237438.0,1241436.0,1245215.0,1247554.0,1253040.0,1277072.0,1285692.0,1295960.0,1306513.0,1313688.0,1318787.0,1323619.0,1327040.0,1330509.0,1329590.0,1327651.0,1328473.0,1328094.0,1328543.0,1331217.0,1329098.0,1332348.0,1335743.0,1340123.0,1345770.0,1350141.0,1372247.0,1389338.0,1395722.0
MD,Maryland,1189000.0,1200000.0,1210000.0,1209000.0,1217000.0,1237000.0,1251000.0,1257000.0,1269000.0,1289000.0,1302000.0,1324000.0,1345000.0,1368000.0,1389000.0,1401000.0,1415000.0,1428000.0,1467000.0,1445000.0,1464000.0,1492000.0,1509000.0,1521000.0,1537000.0,1556000.0,1576000.0,1599000.0,1610000.0,1621000.0,1636000.0,1657000.0,1678000.0,1694000.0,1710000.0,1729000.0,1745000.0,1754000.0,1766000.0,1793000.0,1839000.0,1913000.0,1998000.0,2089000.0,2118000.0,2096000.0,2214000.0,2248000.0,2271000.0,2329000.0,2355000.0,2441000.0,2500000.0,2567000.0,2685000.0,2742000.0,2811000.0,2873000.0,2982000.0,3066000.0,3113000.0,3176000.0,3263000.0,3386000.0,3492000.0,3600000.0,3695000.0,3757000.0,3815000.0,3868000.0,3923897.0,4018324.0,4073499.0,4097974.0,4118815.0,4139096.0,4150539.0,4169595.0,4183603.0,4191160.0,4216975.0,4261905.0,4282923.0,4313327.0,4365243.0,4413071.0,4486957.0,4565557.0,4657904.0,4727301.0,4797431.0,4856176.0,4902545.0,4942504.0,4985411.0,5023650.0,5057142.0,5092914.0,5130072.0,5171634.0,5311034.0,5374691.0,5440389.0,5496269.0,5546935.0,5592379.0,5627367.0,5653408.0,5684965.0,5730388.0,5788784.0,5840241.0,5888375.0,5925197.0,5960064.0,5988528.0,6007014.0,6028186.0,6042153.0,6054954.0,6055802.0,6165129.0,6163981.0,6180253.0
MA,Massachusetts,2788000.0,2794000.0,2856000.0,2924000.0,2969000.0,3018000.0,3107000.0,3183000.0,3251000.0,3316000.0,3365000.0,3383000.0,3440000.0,3534000.0,3636000.0,3705000.0,3726000.0,3738000.0,3695000.0,3785000.0,3882000.0,3951000.0,4010000.0,4057000.0,4102000.0,4154000.0,4194000.0,4223000.0,4217000.0,4229000.0,4250000.0,4248000.0,4259000.0,4282000.0,4305000.0,4343000.0,4355000.0,4358000.0,4365000.0,4347000.0,4318000.0,4389000.0,4370000.0,4257000.0,4192000.0,4201000.0,4494000.0,4580000.0,4674000.0,4741000.0,4686000.0,4654000.0,4650000.0,4806000.0,4910000.0,4882000.0,4891000.0,4929000.0,5010000.0,5117000.0,5160000.0,5219000.0,5263000.0,5344000.0,5448000.0,5502000.0,5535000.0,5594000.0,5618000.0,5650000.0,5689170.0,5737580.0,5760302.0,5781172.0,5773548.0,5757756.0,5743672.0,5738199.0,5736469.0,5738404.0,5737037.0,5768685.0,5771222.0,5799407.0,5840773.0,5880733.0,5902678.0,5935204.0,5979982.0,6015478.0,6018664.0,5998652.0,5993474.0,6010884.0,6031352.0,6062335.0,6085393.0,6115476.0,6144407.0,6175169.0,6361104.0,6397634.0,6417206.0,6422565.0,6412281.0,6403290.0,6410084.0,6431559.0,6468967.0,6517613.0,6566440.0,6614218.0,6664269.0,6715158.0,6764864.0,6797484.0,6827280.0,6863560.0,6885720.0,6894883.0,6893574.0,6984723.0,6982740.0,7001399.0
MI,Michigan,2423000.0,2450000.0,2477000.0,2505000.0,2534000.0,2579000.0,2626000.0,2693000.0,2722000.0,2771000.0,2832000.0,2916000.0,2997000.0,3101000.0,3183000.0,3263000.0,3353000.0,3451000.0,3499000.0,3591000.0,3723000.0,3872000.0,3942000.0,4063000.0,4214000.0,4331000.0,4451000.0,4589000.0,4665000.0,4795000.0,4834000.0,4798000.0,4780000.0,4780000.0,4798000.0,4838000.0,4889000.0,4968000.0,5056000.0,5156000.0,5315000.0,5472000.0,5549000.0,5405000.0,5467000.0,5475000.0,5874000.0,6076000.0,6213000.0,6332000.0,6407000.0,6497000.0,6650000.0,6822000.0,7066000.0,7285000.0,7467000.0,7569000.0,7667000.0,7767000.0,7834000.0,7893000.0,7933000.0,8058000.0,8187000.0,8357000.0,8512000.0,8630000.0,8696000.0,8781000.0,8881826.0,8974186.0,9028944.0,9077956.0,9117507.0,9117668.0,9129205.0,9171110.0,9217761.0,9266268.0,9262078.0,9209287.0,9115198.0,9047754.0,9049452.0,9076293.0,9127775.0,9187481.0,9217998.0,9253295.0,9310462.0,9395022.0,9470323.0,9529240.0,9584481.0,9659871.0,9739184.0,9785450.0,9820231.0,9863775.0,9952450.0,9991120.0,10015710.0,10041152.0,10055315.0,10051137.0,10036081.0,10001284.0,9946889.0,9901591.0,9877597.0,9883053.0,9898289.0,9914802.0,9932033.0,9934483.0,9954117.0,9976752.0,9987286.0,9984795.0,9966555.0,10050811.0,10033281.0,10037261.0
MN,Minnesota,1754000.0,1805000.0,1862000.0,1901000.0,1945000.0,1981000.0,1987000.0,1995000.0,2020000.0,2051000.0,2086000.0,2119000.0,2147000.0,2190000.0,2234000.0,2273000.0,2308000.0,2329000.0,2291000.0,2346000.0,2403000.0,2434000.0,2451000.0,2487000.0,2521000.0,2540000.0,2560000.0,2588000.0,2592000.0,2572000.0,2576000.0,2614000.0,2646000.0,2673000.0,2695000.0,2717000.0,2734000.0,2746000.0,2753000.0,2771000.0,2790000.0,2718000.0,2662000.0,2577000.0,2526000.0,2537000.0,2734000.0,2796000.0,2868000.0,2935000.0,2997000.0,3010000.0,3030000.0,3050000.0,3113000.0,3172000.0,3240000.0,3274000.0,3313000.0,3366000.0,3425000.0,3470000.0,3513000.0,3531000.0,3558000.0,3592000.0,3617000.0,3659000.0,3703000.0,3758000.0,3806103.0,3853486.0,3869747.0,3889332.0,3903925.0,3932515.0,3964680.0,3989364.0,4015341.0,4050316.0,4075970.0,4111728.0,4131450.0,4141456.0,4157706.0,4184302.0,4205212.0,4235136.0,4296166.0,4338057.0,4387283.0,4427429.0,4471503.0,4521709.0,4566028.0,4605445.0,4647723.0,4687726.0,4726411.0,4775508.0,4933692.0,4982796.0,5018935.0,5053572.0,5087713.0,5119598.0,5163555.0,5207203.0,5247018.0,5281203.0,5310934.0,5346620.0,5377500.0,5414722.0,5452665.0,5484002.0,5525360.0,5569283.0,5608762.0,5640053.0,5657342.0,5707390.0,5714300.0,5737915.0
MS,Mississippi,1553000.0,1578000.0,1603000.0,1628000.0,1653000.0,1678000.0,1703000.0,1728000.0,1753000.0,1777000.0,1802000.0,1810000.0,1817000.0,1827000.0,1832000.0,1826000.0,1823000.0,1820000.0,1813000.0,1790000.0,1800000.0,1823000.0,1836000.0,1858000.0,1886000.0,1910000.0,1935000.0,1962000.0,1981000.0,1998000.0,2006000.0,1994000.0,2004000.0,2031000.0,2050000.0,2061000.0,2072000.0,2086000.0,2127000.0,2168000.0,2176000.0,2184000.0,2210000.0,2280000.0,2167000.0,2090000.0,2064000.0,2107000.0,2076000.0,2085000.0,2176000.0,2163000.0,2152000.0,2105000.0,2064000.0,2060000.0,2086000.0,2088000.0,2086000.0,2138000.0,2182000.0,2206000.0,2243000.0,2244000.0,2241000.0,2246000.0,2245000.0,2228000.0,2219000.0,2220000.0,2216994.0,2265432.0,2307117.0,2349546.0,2378268.0,2399449.0,2429756.0,2459201.0,2487816.0,2507069.0,2520638.0,2539036.0,2556777.0,2567717.0,2578051.0,2588102.0,2593597.0,2588545.0,2580352.0,2574269.0,2577426.0,2591230.0,2610193.0,2635574.0,2663450.0,2690788.0,2709925.0,2731826.0,2751335.0,2768619.0,2848353.0,2852994.0,2858681.0,2868312.0,2889010.0,2905943.0,2904978.0,2928350.0,2947806.0,2958774.0,2970615.0,2979147.0,2984599.0,2989839.0,2991892.0,2990231.0,2990595.0,2990674.0,2982879.0,2978227.0,2966786.0,2949965.0,2938928.0,2939690.0
MO,Missouri,3108000.0,3128000.0,3147000.0,3166000.0,3185000.0,3204000.0,3223000.0,3242000.0,3260000.0,3279000.0,3301000.0,3317000.0,3344000.0,3409000.0,3467000.0,3492000.0,3527000.0,3470000.0,3325000.0,3371000.0,3404000.0,3429000.0,3437000.0,3454000.0,3508000.0,3526000.0,3556000.0,3576000.0,3601000.0,3622000.0,3646000.0,3711000.0,3746000.0,3773000.0,3784000.0,3798000.0,3801000.0,3794000.0,3781000.0,3783000.0,3786000.0,3811000.0,3829000.0,3705000.0,3560000.0,3516000.0,3746000.0,3845000.0,3844000.0,3882000.0,3964000.0,4015000.0,3972000.0,4020000.0,4066000.0,4134000.0,4163000.0,4189000.0,4186000.0,4258000.0,4326000.0,4349000.0,4357000.0,4392000.0,4442000.0,4467000.0,4523000.0,4539000.0,4568000.0,4640000.0,4677623.0,4725764.0,4758780.0,4782645.0,4795930.0,4808308.0,4839029.0,4863173.0,4889399.0,4912430.0,4916686.0,4932064.0,4929451.0,4943733.0,4975278.0,5000268.0,5023068.0,5056696.0,5081736.0,5095830.0,5126370.0,5157770.0,5193686.0,5237757.0,5281206.0,5324610.0,5367888.0,5407113.0,5437562.0,5468338.0,5607285.0,5641142.0,5674825.0,5709403.0,5747741.0,5790300.0,5842704.0,5887612.0,5923916.0,5961088.0,5996089.0,6011182.0,6026027.0,6042989.0,6059130.0,6075411.0,6091384.0,6111382.0,6125986.0,6140475.0,6151548.0,6168187.0,6177168.0,6196156.0
MT,Montana,245000.0,261000.0,270000.0,282000.0,293000.0,305000.0,322000.0,332000.0,346000.0,363000.0,380000.0,397000.0,414000.0,433000.0,452000.0,469000.0,487000.0,505000.0,501000.0,534000.0,543000.0,546000.0,543000.0,538000.0,538000.0,535000.0,531000.0,527000.0,541000.0,524000.0,539000.0,540000.0,540000.0,541000.0,545000.0,550000.0,554000.0,554000.0,552000.0,555000.0,558000.0,543000.0,518000.0,485000.0,469000.0,477000.0,514000.0,531000.0,542000.0,569000.0,593000.0,596000.0,602000.0,616000.0,624000.0,636000.0,656000.0,667000.0,666000.0,669000.0,679000.0,696000.0,698000.0,703000.0,706000.0,706000.0,707000.0,701000.0,700000.0,694000.0,694409.0,710814.0,718732.0,726798.0,736419.0,748208.0,757317.0,769953.0,782317.0,787305.0,786690.0,795328.0,803986.0,814031.0,820905.0,822320.0,813739.0,805063.0,800202.0,799636.0,799824.0,807837.0,822436.0,839876.0,854923.0,868522.0,876656.0,878706.0,879533.0,882779.0,903773.0,906961.0,911667.0,919630.0,930009.0,940102.0,952692.0,964706.0,976415.0,983982.0,990730.0,997518.0,1004168.0,1014158.0,1022657.0,1031495.0,1042137.0,1053862.0,1061818.0,1070123.0,1080577.0,1104271.0,1122878.0,1132812.0
NE,Nebraska,1067000.0,1078000.0,1089000.0,1104000.0,1119000.0,1129000.0,1138000.0,1149000.0,1161000.0,1177000.0,1198000.0,1216000.0,1232000.0,1246000.0,1264000.0,1272000.0,1275000.0,1285000.0,1266000.0,1290000.0,1300000.0,1309000.0,1312000.0,1321000.0,1333000.0,1343000.0,1353000.0,1365000.0,1371000.0,1375000.0,1380000.0,1384000.0,1386000.0,1385000.0,1382000.0,1375000.0,1358000.0,1339000.0,1326000.0,1318000.0,1316000.0,1272000.0,1239000.0,1241000.0,1216000.0,1211000.0,1256000.0,1265000.0,1265000.0,1302000.0,1327000.0,1316000.0,1311000.0,1318000.0,1340000.0,1374000.0,1397000.0,1394000.0,1383000.0,1397000.0,1417000.0,1446000.0,1464000.0,1476000.0,1482000.0,1471000.0,1456000.0,1457000.0,1467000.0,1474000.0,1485333.0,1504604.0,1519013.0,1529567.0,1539191.0,1543117.0,1550911.0,1556842.0,1563884.0,1567344.0,1569825.0,1578515.0,1581780.0,1584293.0,1588639.0,1584664.0,1574333.0,1566547.0,1571477.0,1574864.0,1580664.0,1590805.0,1602406.0,1612149.0,1621551.0,1635142.0,1647657.0,1656042.0,1660772.0,1666028.0,1713820.0,1719836.0,1728292.0,1738643.0,1749370.0,1761497.0,1772693.0,1783440.0,1796378.0,1812683.0,1829591.0,1840914.0,1853691.0,1865813.0,1879955.0,1892059.0,1906483.0,1916998.0,1925512.0,1932571.0,1937552.0,1963692.0,1968060.0,1978379.0
NV,Nevada,43000.0,45000.0,49000.0,52000.0,56000.0,59000.0,64000.0,68000.0,73000.0,78000.0,82000.0,81000.0,81000.0,82000.0,83000.0,82000.0,82000.0,81000.0,77000.0,77000.0,78000.0,80000.0,81000.0,82000.0,84000.0,85000.0,87000.0,88000.0,89000.0,90000.0,92000.0,94000.0,96000.0,96000.0,98000.0,100000.0,101000.0,103000.0,105000.0,107000.0,113000.0,120000.0,137000.0,151000.0,153000.0,149000.0,143000.0,149000.0,156000.0,157000.0,162000.0,168000.0,181000.0,195000.0,213000.0,237000.0,250000.0,260000.0,269000.0,279000.0,291000.0,315000.0,352000.0,397000.0,426000.0,444000.0,446000.0,449000.0,464000.0,480000.0,488738.0,520018.0,546789.0,568991.0,596822.0,619972.0,646975.0,678333.0,719436.0,765367.0,800493.0,847655.0,881537.0,901977.0,924922.0,951030.0,980613.0,1023376.0,1075022.0,1137382.0,1218629.0,1285046.0,1330694.0,1380197.0,1456388.0,1525777.0,1596476.0,1675581.0,1743772.0,1809253.0,2018741.0,2098399.0,2173791.0,2248850.0,2346222.0,2432143.0,2522658.0,2601072.0,2653630.0,2684665.0,2702483.0,2713114.0,2744670.0,2776956.0,2818935.0,2868531.0,2919555.0,2972097.0,3030725.0,3090771.0,3138259.0,3143991.0,3177421.0,3194176.0
NH,New Hampshire,412000.0,412000.0,409000.0,394000.0,407000.0,423000.0,415000.0,423000.0,428000.0,431000.0,431000.0,432000.0,434000.0,439000.0,442000.0,443000.0,445000.0,447000.0,440000.0,443000.0,444000.0,449000.0,451000.0,453000.0,457000.0,459000.0,463000.0,466000.0,468000.0,467000.0,466000.0,470000.0,474000.0,477000.0,480000.0,481000.0,481000.0,481000.0,485000.0,490000.0,492000.0,490000.0,481000.0,462000.0,456000.0,459000.0,494000.0,507000.0,520000.0,533000.0,532000.0,529000.0,535000.0,547000.0,554000.0,557000.0,566000.0,572000.0,581000.0,596000.0,609000.0,618000.0,632000.0,649000.0,663000.0,676000.0,681000.0,697000.0,709000.0,724000.0,737681.0,761851.0,781107.0,800951.0,815914.0,828555.0,845248.0,869763.0,891520.0,909074.0,920610.0,936621.0,947719.0,958134.0,976864.0,996753.0,1025053.0,1054289.0,1082577.0,1104522.0,1111831.0,1107055.0,1112766.0,1122191.0,1133054.0,1145604.0,1160768.0,1173239.0,1185823.0,1201134.0,1239882.0,1255517.0,1269089.0,1279840.0,1290121.0,1298492.0,1308389.0,1312540.0,1315906.0,1316102.0,1316807.0,1320444.0,1324677.0,1327272.0,1334257.0,1337480.0,1343694.0,1350395.0,1355064.0,1360783.0,1366275.0,1388992.0,1399003.0,1402054.0
