Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
40744,31-33,12,1,0,2
40744,31-33,4,210,0,2
40744,31-33,4,230,0,2
40744,42,10,1,0,2
40744,42,5,210,0,2
40744,44-45,34,1,0,2
40744,44-45,3,241,0,2
40744,44-45,16,210,0,2
40744,44-45,7,220,0,2
40744,44-45,5,230,0,2
40744,00,202,1,137800,2
40744,00,99,210,0,2
40744,00,39,220,0,2
40744,00,32,230,0,2
40744,00,17,241,0,2
40744,00,9,242,0,2
40744,00,3,251,0,2
40744,21,4,1,0,2
40744,21,3,210,0,2
40744,23,19,1,0,2
40744,23,8,210,0,2
40744,23,5,220,0,2
40744,23,3,242,0,2
40744,48-49,18,1,0,2
40744,48-49,12,210,0,2
40744,48-49,3,230,0,2
40744,51,6,1,0,2
40744,51,3,210,0,2
40744,52,6,1,0,2
40744,52,5,210,0,2
40744,53,17,1,0,2
40744,53,9,210,0,2
40744,53,7,220,0,2
40744,54,19,1,0,2
40744,54,11,210,0,2
40744,54,3,220,0,2
40744,54,3,230,0,2
40744,56,9,1,0,2
40744,56,6,210,0,2
40744,62,20,1,0,2
40744,62,5,210,0,2
40744,62,4,220,0,2
40744,62,7,230,0,2
40744,62,3,241,0,2
40744,72,10,1,0,2
40744,72,3,241,0,2
40744,81,10,1,0,2
40744,81,7,210,0,2
