Naics,Establishments,Employees,Payroll,fips
11,14,115,3065,15001
22,17,493,56894,15001
23,414,2823,165627,15001
42,176,1798,85250,15001
51,66,663,34655,15001
52,182,1148,59521,15001
53,283,1549,68494,15001
54,319,1445,85234,15001
55,16,519,22185,15001
56,275,4778,138925,15001
61,58,1333,44279,15001
71,73,1235,42587,15001
62,485,8030,434164,15001
72,490,14001,429025,15001
81,386,1937,57973,15001
11,20,37,1104,15003
21,3,140,9287,15003
22,23,2509,278533,15003
23,1743,23090,1760026,15003
42,1127,14522,789778,15003
51,369,6801,439192,15003
52,1062,18413,1369614,15003
53,1310,9138,546102,15003
54,2453,18679,1315687,15003
55,213,6419,503394,15003
56,1110,23299,827773,15003
61,373,15518,572756,15003
62,2591,53849,3117748,15003
71,254,7331,188401,15003
72,2566,66494,1904785,15003
81,2500,20814,663690,15003
99,24,35,1790,15003
11,4,7,152,15007
22,13,200,21119,15007
23,243,1357,87513,15007
22,16,482,51421,15009
11,3,6,91,15009
23,490,3826,253692,15009
42,82,691,36570,15007
42,160,1516,71369,15009
51,26,233,12206,15007
52,69,392,20509,15007
53,150,960,48307,15007
54,161,738,40429,15007
55,6,53,2090,15007
56,155,2264,85752,15007
61,34,279,7710,15007
62,188,3202,185533,15007
71,60,1163,34875,15007
72,292,9712,352007,15007
81,200,1056,32890,15007
51,81,682,34180,15009
52,160,827,45885,15009
53,318,2211,97724,15009
54,430,1726,96604,15009
55,11,186,10201,15009
56,305,4865,169318,15009
61,78,925,28762,15009
62,444,7365,422014,15009
71,136,2398,64035,15009
72,547,23083,899727,15009
81,484,2825,95941,15009
99,6,7,153,15009
