Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
59457,517311,3,1,0,6
59457,522110,4,1,0,6
59457,524210,12,1,0,6
59457,524210,9,210,0,6
59457,531110,4,1,0,6
59457,531110,3,210,0,6
59457,531120,3,1,0,6
59457,531210,5,1,0,6
59457,531210,4,210,0,6
59457,541110,5,1,0,6
59457,541110,3,210,0,6
59457,541211,8,1,0,6
59457,541211,6,210,0,6
59457,541940,5,1,0,6
59457,541940,4,210,0,6
59457,561720,7,1,0,6
59457,561720,7,210,0,6
59457,621210,7,1,0,6
59457,621210,3,210,0,6
59457,621210,4,220,0,6
59457,621310,5,1,0,6
59457,621310,3,210,0,6
59457,621320,3,1,0,6
59457,624190,5,1,0,6
59457,624190,4,210,0,6
59457,624410,3,1,0,6
59457,624410,3,241,0,6
59457,713290,4,1,0,6
59457,713290,4,220,0,6
59457,721110,7,1,0,6
59457,721110,3,210,0,6
59457,722410,4,1,0,6
59457,722410,3,220,0,6
59457,722511,11,1,0,6
59457,722511,3,210,0,6
59457,722511,4,230,0,6
59457,722513,6,1,0,6
59457,722513,3,230,0,6
59457,722515,4,1,0,6
59457,722515,3,210,0,6
59457,811111,3,1,0,6
59457,811121,3,1,0,6
59457,811310,5,1,0,6
59457,811310,3,210,0,6
59457,813110,10,1,0,6
59457,813110,6,210,0,6
59457,813110,4,220,0,6
59457,813410,8,1,0,6
59457,813410,4,210,0,6
59457,813410,3,230,0,6
59457,221122,3,1,0,6
59457,236115,10,1,0,6
59457,236115,9,210,0,6
59457,236118,3,1,0,6
59457,236118,3,210,0,6
59457,237310,3,1,0,6
59457,238110,4,1,0,6
59457,238110,4,210,0,6
59457,238210,3,1,0,6
59457,238220,6,1,0,6
59457,238220,4,210,0,6
59457,238910,8,1,0,6
59457,238910,7,210,0,6
59457,238990,3,1,0,6
59457,238990,3,210,0,6
59457,332312,3,1,0,6
59457,441110,3,1,0,6
59457,441110,3,230,0,6
59457,441310,3,1,0,6
59457,444190,3,1,0,6
59457,444220,4,1,0,6
59457,444220,3,230,0,6
59457,445110,3,1,0,6
59457,447110,4,1,0,6
59457,447190,3,1,0,6
59457,447190,3,210,0,6
