Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
32958,8114,4,1,0,4
32958,8114,4,210,0,4
32958,8121,11,1,0,4
32958,8121,7,210,0,4
32958,8121,3,220,0,4
32958,8129,7,1,0,4
32958,8129,6,210,0,4
32958,8131,14,1,0,4
32958,8131,7,210,0,4
32958,8131,5,220,0,4
32958,8134,4,1,0,4
32958,8134,3,210,0,4
32958,8139,3,1,0,4
32958,1141,3,1,0,4
32958,1141,3,210,0,4
32958,2361,20,1,0,4
32958,2361,17,210,0,4
32958,2381,16,1,0,4
32958,2381,8,210,0,4
32958,2381,4,220,0,4
32958,2381,3,230,0,4
32958,2382,30,1,0,4
32958,2382,18,210,0,4
32958,2382,6,220,0,4
32958,2382,4,230,0,4
32958,2383,20,1,0,4
32958,2383,19,210,0,4
32958,2389,10,1,0,4
32958,2389,8,210,0,4
32958,3399,4,1,0,4
32958,3399,4,210,0,4
32958,4238,4,1,0,4
32958,4238,3,210,0,4
32958,4239,3,1,0,4
32958,4244,3,1,0,4
32958,4244,3,210,0,4
32958,4251,3,1,0,4
32958,4251,3,210,0,4
32958,4413,4,220,0,4
32958,4413,3,230,0,4
32958,4422,3,1,0,4
32958,4441,6,1,0,4
32958,4451,7,1,0,4
32958,4451,3,210,0,4
32958,4451,4,251,0,4
32958,4452,3,1,0,4
32958,4461,11,1,0,4
32958,4461,5,210,0,4
32958,4471,10,1,0,4
32958,4471,6,210,0,4
32958,4471,3,230,0,4
32958,4511,7,1,0,4
32958,4511,5,210,0,4
32958,4523,6,1,0,4
32958,4523,3,220,0,4
32958,4533,3,1,0,4
32958,4539,7,1,0,4
32958,4539,5,210,0,4
32958,4413,7,1,0,4
32958,4881,3,1,0,4
32958,4884,3,1,0,4
32958,4884,3,210,0,4
32958,5221,12,1,0,4
32958,5221,5,210,0,4
32958,5221,6,220,0,4
32958,5239,3,1,0,4
32958,5239,3,210,0,4
32958,5241,3,1,0,4
32958,5241,3,210,0,4
32958,5242,13,1,0,4
32958,5242,9,210,0,4
32958,5242,4,220,0,4
32958,5311,12,1,0,4
32958,5311,9,210,0,4
32958,5311,3,220,0,4
32958,5312,25,1,0,4
32958,5312,24,210,0,4
32958,5313,9,1,0,4
32958,5313,9,210,0,4
32958,5324,4,1,0,4
32958,5324,4,210,0,4
32958,5411,12,1,0,4
32958,5411,10,210,0,4
32958,5412,15,1,0,4
32958,5412,13,210,0,4
32958,5413,9,1,0,4
32958,5413,8,210,0,4
32958,5415,4,1,0,4
32958,5415,4,210,0,4
32958,5416,21,1,0,4
32958,5416,21,210,0,4
32958,5419,11,1,0,4
32958,5419,6,210,0,4
32958,5419,4,220,0,4
32958,5617,52,1,0,4
32958,5617,43,210,0,4
32958,5617,4,220,0,4
32958,5617,3,230,0,4
32958,6211,31,1,0,4
32958,6211,16,210,0,4
32958,6211,10,220,0,4
32958,6212,16,1,0,4
32958,6212,5,210,0,4
32958,6212,9,220,0,4
32958,6213,12,1,0,4
32958,6213,9,210,0,4
32958,6214,5,1,0,4
32958,6215,3,1,0,4
32958,6215,3,210,0,4
32958,6241,7,1,0,4
32958,6241,5,210,0,4
32958,6244,3,1,0,4
32958,7139,6,1,0,4
32958,7139,3,210,0,4
32958,7212,3,1,0,4
32958,7225,45,1,0,4
32958,7225,12,210,0,4
32958,7225,7,220,0,4
32958,7225,11,230,0,4
32958,7225,10,241,0,4
32958,7225,5,242,0,4
32958,8111,18,1,0,4
32958,8111,13,210,0,4
32958,8111,4,220,0,4
